run_utc,data_date,nifty_close,gold_close,ratio,up_band,dn_band,breakout,prev_position,target_position,decision,action
2026-05-31T08:50:19+00:00,2026-05-29,267.78,128.65,2.081461,2.231737,2.014878,,GOLD,GOLD,HOLD,HOLD GOLD (no change)
2026-06-01T17:26:55+00:00,2026-06-01,265.52,127.49,2.082673,2.231737,2.014878,,GOLD,GOLD,HOLD,HOLD GOLD (no change)
2026-06-03T16:27:08+00:00,2026-06-03,265.55,127.64,2.080461,2.223271,2.014878,,GOLD,GOLD,HOLD,HOLD GOLD (no change)
2026-06-04T14:01:56+00:00,2026-06-04,265.6,128.5,2.066926,2.210734,2.014878,,GOLD,GOLD,HOLD,HOLD GOLD (no change)
2026-06-05T14:36:42+00:00,2026-06-05,265.36,127.78,2.076694,2.203684,2.014878,,GOLD,GOLD,HOLD,HOLD GOLD (no change)
2026-06-08T15:38:18+00:00,2026-06-08,262.56,124.16,2.114691,2.191836,2.014878,,GOLD,GOLD,HOLD,HOLD GOLD (no change)
2026-06-09T14:37:15+00:00,2026-06-09,263.88,125.39,2.104474,2.127036,2.014878,,GOLD,GOLD,HOLD,HOLD GOLD (no change)
2026-06-10T15:21:06+00:00,2026-06-10,263.08,121.15,2.171523,2.114691,2.014878,NIFTY,GOLD,NIFTY,SWITCH,SELL GOLD -> BUY NIFTY
2026-06-11T15:44:39+00:00,2026-06-11,262.63,119.28,2.201794,2.171523,2.034375,NIFTY,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-12T14:45:55+00:00,2026-06-12,267.86,121.92,2.197014,2.201794,2.048454,,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-15T17:06:51+00:00,2026-06-15,270.63,124.11,2.180566,2.201794,2.048454,,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-16T16:43:18+00:00,2026-06-16,271.67,124.14,2.188416,2.201794,2.048454,,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-17T15:00:41+00:00,2026-06-17,273.11,123.75,2.206949,2.201794,2.051476,NIFTY,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-18T14:55:45+00:00,2026-06-18,273.97,122.12,2.243449,2.206949,2.051476,NIFTY,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-19T14:52:02+00:00,2026-06-19,272.95,119.79,2.278571,2.243449,2.062069,NIFTY,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-22T16:44:55+00:00,2026-06-22,273.67,121.12,2.259495,2.278571,2.066926,,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-23T14:36:47+00:00,2026-06-23,270.81,118.9,2.277628,2.278571,2.066926,,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-24T14:15:09+00:00,2026-06-24,272.68,117.56,2.319496,2.278571,2.066926,NIFTY,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-25T14:13:28+00:00,2026-06-25,273.43,114.96,2.378479,2.319496,2.066926,NIFTY,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-29T15:36:35+00:00,2026-06-29,272.16,116.43,2.337542,2.378479,2.066926,,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-06-30T14:06:59+00:00,2026-06-30,271.82,115.97,2.343882,2.378479,2.066926,,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-07-01T14:22:27+00:00,2026-07-01,272.87,115.46,2.363329,2.378479,2.066926,,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-07-02T13:46:13+00:00,2026-07-02,274.27,117.69,2.330444,2.378479,2.066926,,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
2026-07-03T13:50:36+00:00,2026-07-03,275.91,120.31,2.293326,2.378479,2.076694,,NIFTY,NIFTY,HOLD,HOLD NIFTY (no change)
