Date,SwitchTo,Ratio,Up(20),Dn(20)
2021-06-21,NIFTY,4.1287,4.1179,3.8335
2021-07-20,GOLD,4.0427,4.174,4.0601
2021-08-03,NIFTY,4.1772,4.1294,4.0427
2021-10-28,GOLD,4.6591,4.8538,4.7019
2022-01-04,NIFTY,4.6421,4.5818,4.2984
2022-01-24,GOLD,4.4194,4.7684,4.4374
2022-03-29,NIFTY,4.2377,4.227,3.7463
2022-04-18,GOLD,4.0318,4.4141,4.1448
2022-06-01,NIFTY,4.1266,4.1166,3.901
2022-06-13,GOLD,3.8893,4.1266,3.939
2022-07-08,NIFTY,4.0459,4.0278,3.7856
2022-09-28,GOLD,4.361,4.5761,4.367
2022-10-31,NIFTY,4.5401,4.4821,4.2524
2022-11-18,GOLD,4.4171,4.5905,4.4184
2023-03-08,NIFTY,4.1161,4.0961,3.9544
2023-03-13,GOLD,3.8533,4.1161,3.9726
2023-04-19,NIFTY,3.7727,3.7672,3.6479
2023-08-03,GOLD,4.2256,4.2974,4.2298
2023-08-09,NIFTY,4.298,4.2974,4.2256
2023-10-18,GOLD,4.2773,4.4775,4.317
2023-12-04,NIFTY,4.2476,4.2452,4.0818
2024-03-05,GOLD,4.5284,4.6852,4.5293
2024-05-23,NIFTY,4.1267,4.1223,3.9562
2024-09-25,GOLD,4.5569,4.7013,4.5652
2024-11-26,NIFTY,4.2679,4.2656,4.0442
2024-12-23,GOLD,4.1529,4.3113,4.1717
2025-03-24,NIFTY,3.6288,3.5451,3.4174
2025-04-01,GOLD,3.3837,3.6288,3.4174
2025-05-12,NIFTY,3.5771,3.4673,3.2575
2025-06-13,GOLD,3.3333,3.6026,3.4001
2025-06-26,NIFTY,3.5304,3.5214,3.3333
2025-07-22,GOLD,3.4079,3.6081,3.4367
2025-08-20,NIFTY,3.442,3.4277,3.2615
2025-08-29,GOLD,3.2348,3.442,3.2615
2025-10-28,NIFTY,3.0266,2.9783,2.684
2025-12-01,GOLD,2.7746,2.912,2.7749
2026-03-23,NIFTY,2.3045,2.2678,2.0157
2026-05-12,GOLD,2.127,2.2465,2.1778
